t;Extract;Cext;Cag;Rt;A_405;A_450;A_492;A_630
20;B;0.7;3;40;1.071;1.083;1.089;1.085
20;B;0.7;4;40;1.07;1.069;1.075;1.07
20;B;0.7;5;40;1.195;1.208;1.21;1.218
20;B;0.7;1;40;0.313;0.366;0.365;0.368
20;B;0.7;2;40;0.844;0.865;0.881;0.898
20;B;0.7;3;40;1.022;1.019;1.028;1.032
20;B;0.7;4;40;1.085;1.082;1.097;1.099
20;B;0.7;5;40;1.049;1.05;1.059;1.063
20;B;0.7;1;100;0.383;0.458;0.458;0.459
20;B;0.7;2;100;0.52;0.618;0.631;0.641
20;B;0.7;3;100;0.963;1.055;1.067;1.085
20;B;0.7;4;100;1.806;1.839;1.84;1.854
20;B;0.7;5;100;1.751;1.804;1.82;1.838
20;B;0.7;1;100;0.426;0.504;0.501;0.501
20;B;0.7;2;100;0.498;0.595;0.603;0.6
20;B;0.7;3;100;1.058;1.181;1.191;1.231
20;B;0.7;4;100;1.42;1.515;1.54;1.561
20;B;0.7;5;100;1.833;1.891;1.915;1.951
30;B;0.7;1;10;0.19;0.198;0.196;0.288
30;B;0.7;2;10;0.21;0.222;0.218;0.361
30;B;0.7;3;10;0.23;0.24;0.237;0.4
30;B;0.7;4;10;0.234;0.247;0.24;0.407
30;B;0.7;5;10;0.282;0.3;0.287;0.469
30;B;0.7;1;10;0.24;0.242;0.24;0.33
30;B;0.7;2;10;0.222;0.226;0.232;0.388
30;B;0.7;3;10;0.227;0.229;0.233;0.433
30;B;0.7;4;10;0.239;0.245;0.247;0.455
30;B;0.7;5;10;0.258;0.269;0.265;0.457
30;B;0.7;1;80;0.298;0.295;0.292;0.365
30;B;0.7;2;80;0.442;0.442;0.435;0.664
30;B;0.7;3;80;0.685;0.678;0.679;1.228
30;B;0.7;4;80;0.787;0.792;0.795;1.6
30;B;0.7;5;80;0.674;0.672;0.672;1.513
30;B;0.7;1;80;0.316;0.312;0.306;0.38
30;B;0.7;2;80;0.553;0.55;0.55;0.794
30;B;0.7;3;80;0.581;0.582;0.567;1.082
30;B;0.7;4;80;0.701;0.706;0.702;1.541
30;B;0.7;5;80;0.809;0.809;0.813;1.711
30;B;0.7;1;40;0.255;0.262;0.257;0.363
30;B;0.7;2;40;0.459;0.471;0.461;0.852
30;B;0.7;3;40;0.412;0.424;0.418;0.945
30;B;0.7;4;40;0.415;0.424;0.413;0.937
30;B;0.7;5;40;0.511;0.522;0.515;1.098
30;B;0.7;1;40;0.237;0.234;0.539;0.326
30;B;0.7;2;40;0.427;0.42;0.425;0.807
30;B;0.7;3;40;0.38;0.378;0.378;0.893
30;B;0.7;4;40;0.466;0.463;0.468;0.979
30;B;0.7;5;40;0.378;0.379;0.382;0.934
30;B;0.7;1;100;0.29;0.289;0.292;0.361
30;B;0.7;2;100;0.41;0.412;0.417;0.558
30;B;0.7;3;100;0.559;0.556;0.563;1.054
30;B;0.7;4;100;0.936;0.951;0.977;1.882
30;B;0.7;5;100;0.682;0.58;0.685;1.615
30;B;0.7;1;100;0.354;0.35;0.354;0.426
30;B;0.7;2;100;0.353;0.362;0.36;0.509
30;B;0.7;3;100;0.685;0.7;0.696;1.216
30;B;0.7;4;100;0.754;0.764;0.771;1.614
30;B;0.7;5;100;0.852;0.863;0.931;1.861
40;B;0.7;1;10;0.302;0.373;0.367;0.399
40;B;0.7;2;10;0.364;0.408;0.428;0.418
40;B;0.7;3;10;0.404;0.606;0.616;0.622
40;B;0.7;4;10;0.413;0.458;0.46;0.461
40;B;0.7;5;10;0.478;0.491;0.498;0.503
40;B;0.7;1;10;0.344;0.414;0.419;0.428
40;B;0.7;2;10;0.397;0.432;0.446;0.442
40;B;0.7;3;10;0.444;0.664;0.672;0.68
40;B;0.7;4;10;0.464;0.491;0.491;0.492
40;B;0.7;5;10;0.474;0.511;0.522;0.527
40;B;0.7;1;80;0.381;1.426;1.421;1.423
40;B;0.7;2;80;0.701;1.523;1.533;1.535
40;B;0.7;3;80;1.308;1.512;1.541;1.543
40;B;0.7;4;80;1.664;1.548;1.564;1.568
40;B;0.7;5;80;1.595;1.628;1.646;1.663
40;B;0.7;1;80;0.388;1.621;1.62;1.611
40;B;0.7;2;80;0.849;1.651;1.667;1.667
40;B;0.7;3;80;1.154;1.767;1.795;1.808
40;B;0.7;4;80;1.635;1.701;1.719;1.727
40;B;0.7;5;80;1.805;1.85;1.869;1.887
40;B;0.7;1;40;0.383;0.869;0.866;0.865
40;B;0.7;2;40;0.89;1.047;1.053;1.059
40;B;0.7;3;40;0.977;1.507;1.5;1.518
40;B;0.7;4;40;0.952;1.537;1.549;1.557
40;B;0.7;5;40;1.135;1.639;1.644;1.652
40;B;0.7;1;40;;1.006;1.005;1.002
40;B;0.7;2;40;;1.141;1.145;1.146
40;B;0.7;3;40;;1.497;1.514;1.531
40;B;0.7;4;40;;1.452;1.469;1.479
40;B;0.7;5;40;;1.568;1.584;1.592
40;B;0.7;1;100;1.604;1.633;1.663;1.678
40;B;0.7;2;100;1.515;1.552;1.582;1.58
40;B;0.7;3;100;1.596;1.625;1.653;1.662
40;B;0.7;4;100;1.556;1.59;1.625;1.631
40;B;0.7;5;100;1.638;1.694;1.725;1.732
40;B;0.7;1;100;1.742;1.774;1.802;1.808
40;B;0.7;2;100;1.806;1.843;1.871;1.869
40;B;0.7;3;100;1.782;1.82;1.85;1.859
40;B;0.7;4;100;1.875;1.917;1.954;1.964
40;B;0.7;5;100;1.855;1.929;1.957;1.968
50;B;0.7;1;10;0.401;0.403;0.377;0.407
50;B;0.7;2;10;0.433;0.436;0.432;0.442
50;B;0.7;3;10;0.685;0.686;0.693;0.705
50;B;0.7;4;10;0.506;0.507;0.511;0.512
50;B;0.7;5;10;0.545;0.545;0.548;0.553
50;B;0.7;1;10;0.423;0.43;0.413;0.445
50;B;0.7;2;10;0.458;0.461;0.468;0.475
50;B;0.7;3;10;0.744;0.745;0.75;0.769
50;B;0.7;4;10;0.54;0.535;0.54;0.547
50;B;0.7;5;10;0.567;0.562;0.567;0.578
50;B;0.7;1;80;1.784;1.391;1.41;1.48
50;B;0.7;2;80;1.433;1.509;1.533;1.581
50;B;0.7;3;80;1.539;1.513;1.532;1.638
